1948,St.Moritz,Bobsleigh,"BIBBIA,Nino",ITA,Men,Individual,Gold,,
1952,Oslo,Skiing,"COLO,Zeno",ITA,Men,Downhill,Gold,,
1952,Oslo,Skiing,"MINUZZOCHENAL,Giuliana",ITA,Women,Downhill,Bronze,,
1956,Cortinad'Ampezzo,Bobsleigh,"ALVERA,Renzo",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"GIRARDI,Ulrico",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"MOCELLINI,Renato",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"MONTI,Eugenio",ITA,Men,Four-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"CONTI,Giacomo",ITA,Men,Two-Man,Gold,,
1956,Cortinad'Ampezzo,Bobsleigh,"DALLACOSTA,Lamberto",ITA,Men,Two-Man,Gold,,
1956,Cortinad'Ampezzo,Bobsleigh,"ALVERA,Renzo",ITA,Men,Two-Man,Silver,,
1956,Cortinad'Ampezzo,Bobsleigh,"MONTI,Eugenio",ITA,Men,Two-Man,Silver,,
1960,SquawValley,Skiing,"MINUZZOCHENAL,Giuliana",ITA,Women,GiantSlalom,Bronze,,
1964,Innsbruck,Bobsleigh,"MONTI,Eugenio",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"RIGONI,Benito",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"SIORPAES,Gildo",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"SIORPAES,Sergio",ITA,Men,Four-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"MONTI,Eugenio",ITA,Men,Two-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"SIORPAES,Sergio",ITA,Men,Two-Man,Bronze,,
1964,Innsbruck,Bobsleigh,"BONAGURA,Romano",ITA,Men,Two-Man,Silver,,
1964,Innsbruck,Bobsleigh,"ZARDINI,Sergio",ITA,Men,Two-Man,Silver,,
1964,Innsbruck,Luge,"AUSSENDORFER,Walter",ITA,Men,Doubles,Bronze,,
1964,Innsbruck,Luge,"MAIR,Sigisfredo",ITA,Men,Doubles,Bronze,,
1968,Grenoble,Bobsleigh,"ARMANO,Mario",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"DEPAOLIS,Luciano",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"MONTI,Eugenio",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"ZANDONELLA,Roberto",ITA,Men,Four-Man,Gold,,
1968,Grenoble,Bobsleigh,"DEPAOLIS,Luciano",ITA,Men,Two-Man,Gold,,
1968,Grenoble,Bobsleigh,"MONTI,Eugenio",ITA,Men,Two-Man,Gold,,
1968,Grenoble,Luge,"LECHNER,Erica",ITA,Women,Singles,Gold,,
1968,Grenoble,Skiing,"NONES,Franco",ITA,Men,30KMMassStart,Gold,,
1972,Sapporo,Bobsleigh,"BONICHON,Gianni",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Bobsleigh,"DALFABBRO,Corrado",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Bobsleigh,"DEZORDO,Nevio",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Bobsleigh,"FRASSINELLI,Adriano",ITA,Men,Four-Man,Silver,,
1972,Sapporo,Luge,"HILDGARTNER,Paul",ITA,Men,Doubles,Gold,,
1972,Sapporo,Luge,"PLAIKNER,Walter",ITA,Men,Doubles,Gold,,
1972,Sapporo,Skiing,"THe_NI,Gustavo",ITA,Men,GiantSlalom,Gold,,
1972,Sapporo,Skiing,"THe_NI,Rolando",ITA,Men,Slalom,Bronze,,
1972,Sapporo,Skiing,"THe_NI,Gustavo",ITA,Men,Slalom,Silver,,
1976,Innsbruck,Skiing,"PLANK,Herbert",ITA,Men,Downhill,Bronze,,
1976,Innsbruck,Skiing,"GROS,Piero",ITA,Men,Slalom,Gold,,
1976,Innsbruck,Skiing,"THe_NI,Gustavo",ITA,Men,Slalom,Silver,,
1976,Innsbruck,Skiing,"GIORDANI,Claudia",ITA,Women,Slalom,Silver,,
1980,LakePlacid,Luge,"BRUNNER,Karl",ITA,Men,Doubles,Silver,,
1980,LakePlacid,Luge,"GSCHNITZER,Peter",ITA,Men,Doubles,Silver,,
1980,LakePlacid,Luge,"HILDGARTNER,Paul",ITA,Men,Singles,Silver,,
1984,Sarajevo,Luge,"HILDGARTNER,Paul",ITA,Men,Singles,Gold,,
1984,Sarajevo,Skiing,"MAGONI,Paoletta",ITA,Women,Slalom,Gold,,
1988,Calgary,Biathlon,"PASSLER,Johann",ITA,Men,20KM,Bronze,,
1988,Calgary,Biathlon,"KIEM,Werner",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Biathlon,"PASSLER,Johann",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Biathlon,"TASCHLER,Gottlieb",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Biathlon,"ZINGERLE,Andreas",ITA,Men,4X7.5KMRelay,Bronze,,
1988,Calgary,Skiing,"TOMBA,Alberto",ITA,Men,GiantSlalom,Gold,,
1988,Calgary,Skiing,"TOMBA,Alberto",ITA,Men,Slalom,Gold,,
1988,Calgary,Skiing,"DEZOLT,Maurilio",ITA,Men,50KM,Silver,,
1992,Albertville,Luge,"HUBER,Norbert",ITA,Men,Doubles,Bronze,,
1992,Albertville,Luge,"RAFFL,Hansje_rg",ITA,Men,Doubles,Bronze,,
1992,Albertville,Skiing,"POLIG,Josef",ITA,Men,AlpineCombined,Gold,,
1992,Albertville,Skiing,"MARTIN,Gianfranco",ITA,Men,AlpineCombined,Silver,,
1992,Albertville,Skiing,"TOMBA,Alberto",ITA,Men,GiantSlalom,Gold,,
1992,Albertville,Skiing,"TOMBA,Alberto",ITA,Men,Slalom,Silver,,
1992,Albertville,Skiing,"COMPAGNONI,Deborah",ITA,Women,Super-G,Gold,,
1992,Albertville,Skiing,"ALBARELLO,Marco",ITA,Men,10KMPursuit,Silver,,
1992,Albertville,Skiing,"BELMONDO,Stefania",ITA,Women,30KM,Gold,,
1992,Albertville,Skiing,"ALBARELLO,Marco",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"FAUNER,Silvio",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"PULIE,Giuseppe",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"VANZETTA,Giorgio",ITA,Men,4X10KMRelay,Silver,,
1992,Albertville,Skiing,"BELMONDO,Stefania",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"DICENTA,Manuela",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"PARUZZI,Gabriella",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"VANZETTA,Bice",ITA,Women,4X5KMRelay,Bronze,,
1992,Albertville,Skiing,"VANZETTA,Giorgio",ITA,Men,50KM,Bronze,,
1992,Albertville,Skiing,"DEZOLT,Maurilio",ITA,Men,50KM,Silver,,
1992,Albertville,Skiing,"VANZETTA,Giorgio",ITA,Men,Combined10KM+15KMPursuit,Bronze,,
1992,Albertville,Skiing,"BELMONDO,Stefania",ITA,Women,Combined5KM+10KMPursuit,Silver,,
1994,Lillehammer,Bobsleigh,"HUBER,Guenther",ITA,Men,Two-Man,Bronze,,
1994,Lillehammer,Bobsleigh,"TICCI,Stefano",ITA,Men,Two-Man,Bronze,,
